Model,R²,MAE,RMSE,EV
RF,0.9117302402651196,3.081125000000015,4.051345377155605,0.9172024026512008
AdaB,0.8331558807775507,4.539372321614309,5.569917312290183,0.8334856448882302
GrB,0.8518386417039217,3.8237941960331367,5.2488090256341255,0.8641594438202812
ET,0.9409206296603141,1.648500000000019,3.314448116957049,0.9547121789560886
KNN,0.8434017068048231,3.8567391304347844,5.3961847251462505,0.8528327666432264
Lg,0.8081028435299548,4.400461143862067,5.973482089025308,0.8939999057663063
XGB,0.5927922710000089,5.984842567443848,8.7016438165907,0.598574381382863
CB,0.7160339308471521,5.1607652278561424,7.266520799068879,0.7269063793484944
SVR,0.776597701902713,5.715176384549813,6.445210623827895,0.8870389515008409
BR,0.728441285196201,5.528075580892356,7.105999432155462,0.8468389736219891
